mun_type;municipality;region;barbershop;bath;museams;cafe;pop;year;oktmo;type;count
Городское поселение;Благовещенский поссовет;Алтайский край;26;50;1;NA;NA;2010;1605151;0;9
Городское поселение;Степноозерский поссовет;Алтайский край;5;24;NA;NA;NA;2010;1605157;0;9
Городское поселение;город Змеиногорск.;Алтайский край;8;8;1;NA;NA;2010;1614101;0;9
Городское поселение;город Горняк;Алтайский край;20;47;1;NA;NA;2010;1625101;0;9
Городское поселение;Малиновоозерский поссовет;Алтайский край;3;NA;NA;NA;NA;2010;1627154;0;9
Городское поселение;Тальменский поссовет;Алтайский край;26;12;1;NA;NA;2010;1647151;0;9
Городской округ, городской округ с внутригородским делением;город Барнаул;Алтайский край;1503;954;4;NA;NA;2010;1701000;0;9
Городской округ, городской округ с внутригородским делением;город Алейск;Алтайский край;74;70;1;NA;NA;2010;1703000;0;9
Городской округ, городской округ с внутригородским делением;город Белокуриха;Алтайский край;73;140;1;NA;NA;2010;1704000;0;9
Городской округ, городской округ с внутригородским делением;город Бийск;Алтайский край;325;385;1;NA;NA;2010;1705000;0;9
Городской округ, городской округ с внутригородским делением;город Заринск;Алтайский край;82;46;2;NA;NA;2010;1706000;0;9
Городской округ, городской округ с внутригородским делением;город Новоалтайск;Алтайский край;90;97;1;NA;NA;2010;1713000;0;9
Городской округ, городской округ с внутригородским делением;город Рубцовск;Алтайский край;643;176;2;NA;NA;2010;1716000;0;9
Городской округ, городской округ с внутригородским делением;город Славгород;Алтайский край;47;242;1;NA;NA;2010;1719000;0;9
Городской округ, городской округ с внутригородским делением;город Яровое;Алтайский край;18;105;1;NA;NA;2010;1730000;0;9
Городское поселение;Благовещенский поссовет;Алтайский край;16;50;1;NA;NA;2011;1605151;0;9
Городское поселение;Степноозерский поссовет;Алтайский край;5;24;NA;NA;NA;2011;1605157;0;9
Городское поселение;город Змеиногорск.;Алтайский край;9;12;1;NA;NA;2011;1614101;0;9
Городское поселение;город Горняк;Алтайский край;17;47;1;NA;NA;2011;1625101;0;9
Городское поселение;Малиновоозерский поссовет;Алтайский край;3;NA;NA;NA;NA;2011;1627154;0;9
Городское поселение;Тальменский поссовет;Алтайский край;26;12;1;NA;NA;2011;1647151;0;9
Городской округ, городской округ с внутригородским делением;город Барнаул;Алтайский край;1644;1045;4;NA;NA;2011;1701000;0;9
Городской округ, городской округ с внутригородским делением;город Алейск;Алтайский край;99;56;1;NA;NA;2011;1703000;0;9
Городской округ, городской округ с внутригородским делением;город Белокуриха;Алтайский край;73;135;1;NA;NA;2011;1704000;0;9
Городской округ, городской округ с внутригородским делением;город Бийск;Алтайский край;364;385;1;NA;NA;2011;1705000;0;9
Городской округ, городской округ с внутригородским делением;город Заринск;Алтайский край;68;46;2;NA;NA;2011;1706000;0;9
Городской округ, городской округ с внутригородским делением;город Новоалтайск;Алтайский край;92;97;1;NA;NA;2011;1713000;0;9
Городской округ, городской округ с внутригородским делением;город Рубцовск;Алтайский край;654;180;2;NA;NA;2011;1716000;0;9
Городской округ, городской округ с внутригородским делением;город Славгород;Алтайский край;56;242;1;NA;NA;2011;1719000;0;9
Городской округ, городской округ с внутригородским делением;город Яровое;Алтайский край;29;91;1;NA;NA;2011;1730000;0;9
Городское поселение;Благовещенский поссовет;Алтайский край;20;24;1;NA;NA;2012;1605151;0;9
Городское поселение;Степноозерский поссовет;Алтайский край;5;24;NA;NA;NA;2012;1605157;0;9
Городское поселение;город Змеиногорск.;Алтайский край;20;12;1;NA;NA;2012;1614101;0;9
Городское поселение;город Горняк;Алтайский край;18;47;1;NA;NA;2012;1625101;0;9
Городское поселение;Малиновоозерский поссовет;Алтайский край;3;NA;NA;NA;NA;2012;1627154;0;9
Городское поселение;Тальменский поссовет;Алтайский край;26;12;1;NA;NA;2012;1647151;0;9
Городской округ, городской округ с внутригородским делением;город Барнаул;Алтайский край;1746;1000;4;NA;NA;2012;1701000;0;9
Городской округ, городской округ с внутригородским делением;город Алейск;Алтайский край;114;62;1;NA;NA;2012;1703000;0;9
Городской округ, городской округ с внутригородским делением;город Белокуриха;Алтайский край;73;155;1;NA;NA;2012;1704000;0;9
Городской округ, городской округ с внутригородским делением;город Бийск;Алтайский край;375;350;1;NA;NA;2012;1705000;0;9
Городской округ, городской округ с внутригородским делением;город Заринск;Алтайский край;70;46;2;NA;NA;2012;1706000;0;9
Городской округ, городской округ с внутригородским делением;город Новоалтайск;Алтайский край;100;125;1;NA;NA;2012;1713000;0;9
Городской округ, городской округ с внутригородским делением;город Рубцовск;Алтайский край;657;182;2;NA;NA;2012;1716000;0;9
Городской округ, городской округ с внутригородским делением;город Славгород;Алтайский край;58;314;1;NA;NA;2012;1719000;0;9
Городской округ, городской округ с внутригородским делением;город Яровое;Алтайский край;29;91;1;NA;NA;2012;1730000;0;9
Городское поселение;Благовещенский поссовет;Алтайский край;29;28;1;NA;NA;2013;1605151;0;9
Городское поселение;Степноозерский поссовет;Алтайский край;5;24;NA;NA;NA;2013;1605157;0;9
Городское поселение;город Змеиногорск.;Алтайский край;20;18;1;NA;NA;2013;1614101;0;9
Городское поселение;город Горняк;Алтайский край;18;47;1;NA;NA;2013;1625101;0;9
Городское поселение;Малиновоозерский поссовет;Алтайский край;3;NA;NA;NA;NA;2013;1627154;0;9
Городское поселение;Тальменский поссовет;Алтайский край;25;3;1;NA;NA;2013;1647151;0;9
Городской округ, городской округ с внутригородским делением;город Барнаул;Алтайский край;1746;1241;4;NA;NA;2013;1701000;0;9
Городской округ, городской округ с внутригородским делением;город Алейск;Алтайский край;69;62;1;NA;NA;2013;1703000;0;9
Городской округ, городской округ с внутригородским делением;город Белокуриха;Алтайский край;77;47;NA;NA;NA;2013;1704000;0;9
Городской округ, городской округ с внутригородским делением;город Бийск;Алтайский край;385;333;1;NA;NA;2013;1705000;0;9
Городской округ, городской округ с внутригородским делением;город Заринск;Алтайский край;70;46;2;NA;NA;2013;1706000;0;9
Городской округ, городской округ с внутригородским делением;город Новоалтайск;Алтайский край;115;125;1;NA;NA;2013;1713000;0;9
Городской округ, городской округ с внутригородским делением;город Рубцовск;Алтайский край;737;182;2;NA;NA;2013;1716000;0;9
Городской округ, городской округ с внутригородским делением;город Славгород;Алтайский край;51;160;1;NA;NA;2013;1719000;0;9
Городской округ, городской округ с внутригородским делением;город Яровое;Алтайский край;31;47;1;NA;NA;2013;1730000;0;9
Городское поселение;Благовещенский поссовет;Алтайский край;23;28;1;NA;NA;2014;1605151;0;9
Городское поселение;Степноозерский поссовет;Алтайский край;5;24;NA;NA;NA;2014;1605157;0;9
Городское поселение;город Змеиногорск.;Алтайский край;20;18;1;NA;NA;2014;1614101;0;9
Городское поселение;город Горняк;Алтайский край;20;47;1;NA;NA;2014;1625101;0;9
Городское поселение;Малиновоозерский поссовет;Алтайский край;2;NA;NA;NA;NA;2014;1627154;0;9
Городское поселение;Тальменский поссовет;Алтайский край;23;3;1;NA;NA;2014;1647151;0;9
Городской округ, городской округ с внутригородским делением;город Барнаул;Алтайский край;1661;1984;4;NA;NA;2014;1701000;0;9
Городской округ, городской округ с внутригородским делением;город Алейск;Алтайский край;69;60;1;NA;NA;2014;1703000;0;9
Городской округ, городской округ с внутригородским делением;город Белокуриха;Алтайский край;77;47;NA;NA;NA;2014;1704000;0;9
Городской округ, городской округ с внутригородским делением;город Бийск;Алтайский край;392;275;1;NA;NA;2014;1705000;0;9
Городской округ, городской округ с внутригородским делением;город Заринск;Алтайский край;68;46;2;NA;NA;2014;1706000;0;9
Городской округ, городской округ с внутригородским делением;город Новоалтайск;Алтайский край;109;139;1;NA;NA;2014;1713000;0;9
Городской округ, городской округ с внутригородским делением;город Рубцовск;Алтайский край;177;164;2;NA;NA;2014;1716000;0;9
Городской округ, городской округ с внутригородским делением;город Славгород;Алтайский край;55;160;1;NA;NA;2014;1719000;0;9
Городской округ, городской округ с внутригородским делением;город Яровое;Алтайский край;27;47;1;NA;NA;2014;1730000;0;9
Городское поселение;Благовещенский поссовет;Алтайский край;23;28;1;NA;NA;2015;1605151;0;9
Городское поселение;Степноозерский поссовет;Алтайский край;5;15;NA;NA;NA;2015;1605157;0;9
Городское поселение;город Змеиногорск.;Алтайский край;30;12;1;NA;NA;2015;1614101;0;9
Городское поселение;город Горняк;Алтайский край;25;47;1;NA;NA;2015;1625101;0;9
Городское поселение;Малиновоозерский поссовет;Алтайский край;2;NA;NA;NA;NA;2015;1627154;0;9
Городское поселение;Тальменский поссовет;Алтайский край;32;9;1;NA;NA;2015;1647151;0;9
Городской округ, городской округ с внутригородским делением;город Барнаул;Алтайский край;1672;1984;4;NA;NA;2015;1701000;0;9
Городской округ, городской округ с внутригородским делением;город Алейск;Алтайский край;70;60;1;NA;NA;2015;1703000;0;9
Городской округ, городской округ с внутригородским делением;город Белокуриха;Алтайский край;76;59;NA;NA;NA;2015;1704000;0;9
Городской округ, городской округ с внутригородским делением;город Бийск;Алтайский край;352;284;1;NA;NA;2015;1705000;0;9
Городской округ, городской округ с внутригородским делением;город Заринск;Алтайский край;68;46;2;NA;NA;2015;1706000;0;9
Городской округ, городской округ с внутригородским делением;город Новоалтайск;Алтайский край;112;139;1;NA;NA;2015;1713000;0;9
Городской округ, городской округ с внутригородским делением;город Рубцовск;Алтайский край;178;164;2;NA;NA;2015;1716000;0;9
Городской округ, городской округ с внутригородским делением;город Славгород;Алтайский край;52;160;1;NA;NA;2015;1719000;0;9
Городской округ, городской округ с внутригородским делением;город Яровое;Алтайский край;34;47;1;NA;NA;2015;1730000;0;9
Городское поселение;Благовещенский поссовет;Алтайский край;23;32;1;NA;NA;2016;1605151;0;9
Городское поселение;Степноозерский поссовет;Алтайский край;5;15;NA;NA;NA;2016;1605157;0;9
Городское поселение;город Змеиногорск.;Алтайский край;31;12;1;NA;NA;2016;1614101;0;9
Городское поселение;город Горняк;Алтайский край;24;56;NA;NA;NA;2016;1625101;0;9
Городское поселение;Малиновоозерский поссовет;Алтайский край;1;NA;NA;NA;NA;2016;1627154;0;9
Городское поселение;Тальменский поссовет;Алтайский край;31;9;1;NA;NA;2016;1647151;0;9
Городской округ, городской округ с внутригородским делением;город Барнаул;Алтайский край;1697;1992;4;NA;NA;2016;1701000;0;9
Городской округ, городской округ с внутригородским делением;город Алейск;Алтайский край;70;60;1;NA;NA;2016;1703000;0;9
Городской округ, городской округ с внутригородским делением;город Белокуриха;Алтайский край;77;59;NA;NA;NA;2016;1704000;0;9
Городской округ, городской округ с внутригородским делением;город Бийск;Алтайский край;369;292;1;NA;NA;2016;1705000;0;9
Городской округ, городской округ с внутригородским делением;город Заринск;Алтайский край;68;46;2;NA;NA;2016;1706000;0;9
Городской округ, городской округ с внутригородским делением;город Новоалтайск;Алтайский край;112;139;1;NA;NA;2016;1713000;0;9
Городской округ, городской округ с внутригородским делением;город Рубцовск;Алтайский край;178;164;2;NA;NA;2016;1716000;0;9
Городской округ, городской округ с внутригородским делением;город Славгород;Алтайский край;56;160;1;NA;NA;2016;1719000;0;9
Городской округ, городской округ с внутригородским делением;город Яровое;Алтайский край;36;47;1;NA;NA;2016;1730000;0;9
Городское поселение;Благовещенский поссовет;Алтайский край;NA;NA;1;NA;NA;2017;1605151;0;9
Городское поселение;Степноозерский поссовет;Алтайский край;NA;NA;NA;NA;NA;2017;1605157;0;9
Городское поселение;город Змеиногорск.;Алтайский край;NA;NA;1;NA;NA;2017;1614101;0;9
Городское поселение;город Горняк;Алтайский край;NA;NA;NA;NA;NA;2017;1625101;0;9
Городское поселение;Малиновоозерский поссовет;Алтайский край;NA;NA;NA;NA;NA;2017;1627154;0;9
Городское поселение;Тальменский поссовет;Алтайский край;NA;NA;NA;NA;NA;2017;1647151;0;9
Городской округ, городской округ с внутригородским делением;город Барнаул;Алтайский край;NA;NA;4;NA;NA;2017;1701000;0;9
Городской округ, городской округ с внутригородским делением;город Алейск;Алтайский край;NA;NA;NA;NA;NA;2017;1703000;0;9
Городской округ, городской округ с внутригородским делением;город Белокуриха;Алтайский край;NA;NA;NA;NA;NA;2017;1704000;0;9
Городской округ, городской округ с внутригородским делением;город Бийск;Алтайский край;NA;NA;1;NA;NA;2017;1705000;0;9
Городской округ, городской округ с внутригородским делением;город Заринск;Алтайский край;NA;NA;2;NA;NA;2017;1706000;0;9
Городской округ, городской округ с внутригородским делением;город Новоалтайск;Алтайский край;NA;NA;1;NA;NA;2017;1713000;0;9
Городской округ, городской округ с внутригородским делением;город Рубцовск;Алтайский край;NA;NA;1;NA;NA;2017;1716000;0;9
Городской округ, городской округ с внутригородским делением;город Славгород;Алтайский край;NA;NA;1;NA;NA;2017;1719000;0;9
Городской округ, городской округ с внутригородским делением;город Яровое;Алтайский край;NA;NA;1;NA;NA;2017;1730000;0;9
Городское поселение;Благовещенский поссовет;Алтайский край;NA;NA;NA;NA;NA;2018;1605151;0;9
Городское поселение;Степноозерский поссовет;Алтайский край;NA;NA;NA;NA;NA;2018;1605157;0;9
Городское поселение;город Змеиногорск.;Алтайский край;NA;NA;NA;NA;NA;2018;1614101;0;9
Городское поселение;город Горняк;Алтайский край;NA;NA;NA;NA;NA;2018;1625101;0;9
Городское поселение;Малиновоозерский поссовет;Алтайский край;NA;NA;NA;NA;NA;2018;1627154;0;9
Городское поселение;Тальменский поссовет;Алтайский край;NA;NA;NA;NA;NA;2018;1647151;0;9
Городской округ, городской округ с внутригородским делением;город Барнаул;Алтайский край;NA;NA;NA;NA;NA;2018;1701000;0;9
Городской округ, городской округ с внутригородским делением;город Алейск;Алтайский край;NA;NA;NA;NA;NA;2018;1703000;0;9
Городской округ, городской округ с внутригородским делением;город Белокуриха;Алтайский край;NA;NA;NA;NA;NA;2018;1704000;0;9
Городской округ, городской округ с внутригородским делением;город Бийск;Алтайский край;NA;NA;NA;NA;NA;2018;1705000;0;9
Городской округ, городской округ с внутригородским делением;город Заринск;Алтайский край;NA;NA;NA;NA;NA;2018;1706000;0;9
Городской округ, городской округ с внутригородским делением;город Новоалтайск;Алтайский край;NA;NA;NA;NA;NA;2018;1713000;0;9
Городской округ, городской округ с внутригородским делением;город Рубцовск;Алтайский край;NA;NA;NA;NA;NA;2018;1716000;0;9
Городской округ, городской округ с внутригородским делением;город Славгород;Алтайский край;NA;NA;NA;NA;NA;2018;1719000;0;9
Городской округ, городской округ с внутригородским делением;город Яровое;Алтайский край;NA;NA;NA;NA;NA;2018;1730000;0;9
Городское поселение;рабочий поселок Архара;Амурская область;14;50;NA;140;NA;2010;10605151;0;9
Городское поселение;рабочий поселок Новобурейский;Амурская область;18;50;1;172;NA;2010;10615151;0;9
Городское поселение;рабочий поселок Бурея;Амурская область;5;40;NA;NA;NA;2010;10615157;0;9
Городское поселение;рабочий поселок Талакан;Амурская область;5;20;NA;54;NA;2010;10615172;0;9
Городское поселение;город Завитинск;Амурская область;20;40;NA;170;NA;2010;10621101;0;9
Городское поселение;рабочий поселок Магдагачи;Амурская область;14;68;NA;128;NA;2010;10631151;0;9
Городское поселение;рабочий поселок Сиваки;Амурская область;NA;48;NA;42;NA;2010;10631160;0;9
Городское поселение;рабочий поселок Ушумун;Амурская область;1;50;NA;NA;NA;2010;10631170;0;9
Городское поселение;рабочий поселок Экимчан;Амурская область;1;NA;NA;NA;NA;2010;10645151;0;9
Городское поселение;рабочий поселок Токур;Амурская область;1;20;NA;NA;NA;2010;10645185;0;9
Городское поселение;рабочий поселок Февральск;Амурская область;9;NA;NA;108;NA;2010;10645189;0;9
Городское поселение;рабочий поселок Серышево;Амурская область;19;56;1;253;NA;2010;10647151;0;9
Городское поселение;город Сковородино;Амурская область;17;43;1;381;NA;2010;10649101;0;9
Городское поселение;рабочий поселок Ерофей Павлович;Амурская область;4;50;NA;50;NA;2010;10649155;0;9
Городское поселение;рабочий поселок Уруша;Амурская область;1;7;NA;NA;NA;2010;10649185;0;9
Городской округ, городской округ с внутригородским делением;город Благовещенск;Амурская область;532;402;1;11198;211623;2010;10701000;0;9
Городской округ, городской округ с внутригородским делением;город Белогорск;Амурская область;100;140;1;1183;67838;2010;10710000;0;9
Городской округ, городской округ с внутригородским делением;город Зея;Амурская область;51;34;1;692;26706;2010;10712000;0;9
Городской округ, городской округ с внутригородским делением;город Райчихинск;Амурская область;16;120;1;749;23817;2010;10720000;0;9
Городской округ, городской округ с внутригородским делением;город Свободный;Амурская область;88;208;1;845;58730;2010;10730000;0;9
Городской округ, городской округ с внутригородским делением;город Тында;Амурская область;159;58;1;1111;37591;2010;10732000;0;9
Городской округ, городской округ с внутригородским делением;город Шимановск;Амурская область;27;102;1;222;21605;2010;10740000;0;9
Городской округ, городской округ с внутригородским делением;рабочий поселок Прогресс;Амурская область;11;85;NA;222;15742;2010;10775000;0;9
Городское поселение;рабочий поселок Архара;Амурская область;14;50;NA;140;9584;2011;10605151;0;9
Городское поселение;рабочий поселок Новобурейский;Амурская область;18;50;1;212;9290;2011;10615151;0;9
Городское поселение;рабочий поселок Бурея;Амурская область;5;40;0;0;4985;2011;10615157;0;9
Городское поселение;рабочий поселок Талакан;Амурская область;11;20;NA;104;5159;2011;10615172;0;9
Городское поселение;город Завитинск;Амурская область;20;40;NA;197;11766;2011;10621101;0;9
Городское поселение;рабочий поселок Магдагачи;Амурская область;14;43;0;128;10882;2011;10631151;0;9
Городское поселение;рабочий поселок Сиваки;Амурская область;0;48;0;0;2041;2011;10631160;0;9
Городское поселение;рабочий поселок Ушумун;Амурская область;1;50;0;0;2380;2011;10631170;0;9
Городское поселение;рабочий поселок Экимчан;Амурская область;1;NA;NA;NA;1204;2011;10645151;0;9
Городское поселение;рабочий поселок Токур;Амурская область;1;NA;NA;NA;1088;2011;10645185;0;9
Городское поселение;рабочий поселок Февральск;Амурская область;9;NA;NA;160;5484;2011;10645189;0;9
Городское поселение;рабочий поселок Серышево;Амурская область;17;56;1;282;10785;2011;10647151;0;9
Городское поселение;город Сковородино;Амурская область;18;43;1;524;9888;2011;10649101;0;9
Городское поселение;рабочий поселок Ерофей Павлович;Амурская область;3;50;NA;200;5604;2011;10649155;0;9
Городское поселение;рабочий поселок Уруша;Амурская область;2;7;NA;56;3782;2011;10649185;0;9
Городской округ, городской округ с внутригородским делением;город Благовещенск;Амурская область;527;402;1;10864;219818;2011;10701000;0;9
Городской округ, городской округ с внутригородским делением;город Белогорск;Амурская область;108;140;1;1721;68657;2011;10710000;0;9
Городской округ, городской округ с внутригородским делением;город Зея;Амурская область;42;34;1;734;24978;2011;10712000;0;9
Городской округ, городской округ с внутригородским делением;город Райчихинск;Амурская область;29;160;1;654;21880;2011;10720000;0;9
Городской округ, городской округ с внутригородским делением;город Свободный;Амурская область;88;208;1;1096;58669;2011;10730000;0;9
Городской округ, городской округ с внутригородским делением;город Тында;Амурская область;130;58;1;1302;36185;2011;10732000;0;9
Городской округ, городской округ с внутригородским делением;город Шимановск;Амурская область;28;102;1;386;19805;2011;10740000;0;9
Городской округ, городской округ с внутригородским делением;рабочий поселок Прогресс;Амурская область;15;85;0;222;13281;2011;10775000;0;9
Городское поселение;рабочий поселок Архара;Амурская область;15;50;NA;210;9398;2012;10605151;0;9
Городское поселение;рабочий поселок Новобурейский;Амурская область;18;50;1;260;8104;2012;10615151;0;9
Городское поселение;рабочий поселок Бурея;Амурская область;5;40;NA;40;4712;2012;10615157;0;9
Городское поселение;рабочий поселок Талакан;Амурская область;11;20;NA;104;5031;2012;10615172;0;9
Городское поселение;город Завитинск;Амурская область;22;40;NA;197;11285;2012;10621101;0;9
Городское поселение;рабочий поселок Магдагачи;Амурская область;14;43;1;128;10574;2012;10631151;0;9
Городское поселение;рабочий поселок Сиваки;Амурская область;1;48;0;0;1986;2012;10631160;0;9
Городское поселение;рабочий поселок Ушумун;Амурская область;1;50;0;10;2323;2012;10631170;0;9
Городское поселение;рабочий поселок Экимчан;Амурская область;1;NA;NA;NA;1183;2012;10645151;0;9
Городское поселение;рабочий поселок Токур;Амурская область;1;NA;NA;NA;1077;2012;10645185;0;9
Городское поселение;рабочий поселок Февральск;Амурская область;14;18;NA;180;5104;2012;10645189;0;9
Городское поселение;рабочий поселок Серышево;Амурская область;19;50;1;291;10585;2012;10647151;0;9
Городское поселение;город Сковородино;Амурская область;18;43;1;524;9481;2012;10649101;0;9
Городское поселение;рабочий поселок Ерофей Павлович;Амурская область;3;50;NA;140;5019;2012;10649155;0;9
Городское поселение;рабочий поселок Уруша;Амурская область;2;7;NA;148;3671;2012;10649185;0;9
Городской округ, городской округ с внутригородским делением;город Благовещенск;Амурская область;589;411;1;12577;221136;2012;10701000;0;9
Городской округ, городской округ с внутригородским делением;город Белогорск;Амурская область;114;140;1;1861;68371;2012;10710000;0;9
Городской округ, городской округ с внутригородским делением;город Зея;Амурская область;41;34;1;626;24665;2012;10712000;0;9
Городской округ, городской округ с внутригородским делением;город Райчихинск;Амурская область;33;160;1;810;21551;2012;10720000;0;9
Городской округ, городской округ с внутригородским делением;город Свободный;Амурская область;88;208;1;1009;57713;2012;10730000;0;9
Городской округ, городской округ с внутригородским делением;город Тында;Амурская область;155;73;1;1647;35410;2012;10732000;0;9
Городской округ, городской округ с внутригородским делением;город Шимановск;Амурская область;30;66;1;386;19595;2012;10740000;0;9
Городской округ, городской округ с внутригородским делением;рабочий поселок Прогресс;Амурская область;14;52;0;219;13046;2012;10775000;0;9
Городское поселение;рабочий поселок Архара;Амурская область;15;50;NA;140;9279;2013;10605151;0;9
Городское поселение;рабочий поселок Новобурейский;Амурская область;25;50;1;188;7929;2013;10615151;0;9
Городское поселение;рабочий поселок Бурея;Амурская область;5;40;NA;40;4649;2013;10615157;0;9
Городское поселение;рабочий поселок Талакан;Амурская область;11;20;NA;146;4898;2013;10615172;0;9
Городское поселение;город Завитинск;Амурская область;22;40;0;197;11122;2013;10621101;0;9
Городское поселение;рабочий поселок Магдагачи;Амурская область;14;43;0;128;10425;2013;10631151;0;9
Городское поселение;рабочий поселок Сиваки;Амурская область;1;48;0;36;1937;2013;10631160;0;9
Городское поселение;рабочий поселок Ушумун;Амурская область;1;50;0;35;2271;2013;10631170;0;9
Городское поселение;рабочий поселок Экимчан;Амурская область;1;NA;NA;NA;1146;2013;10645151;0;9
Городское поселение;рабочий поселок Токур;Амурская область;1;NA;NA;20;1047;2013;10645185;0;9
Городское поселение;рабочий поселок Февральск;Амурская область;14;18;NA;180;5029;2013;10645189;0;9
Городское поселение;рабочий поселок Серышево;Амурская область;19;40;1;321;10514;2013;10647151;0;9
Городское поселение;город Сковородино;Амурская область;18;43;1;524;9481;2013;10649101;0;9
Городское поселение;рабочий поселок Ерофей Павлович;Амурская область;3;50;NA;140;4929;2013;10649155;0;9
Городское поселение;рабочий поселок Уруша;Амурская область;2;7;NA;148;3555;2013;10649185;0;9
Городской округ, городской округ с внутригородским делением;город Благовещенск;Амурская область;604;419;1;12712;222994;2013;10701000;0;9
Городской округ, городской округ с внутригородским делением;город Белогорск;Амурская область;114;140;1;2227;68456;2013;10710000;0;9
Городской округ, городской округ с внутригородским делением;город Зея;Амурская область;45;34;1;608;24367;2013;10712000;0;9
Городской округ, городской округ с внутригородским делением;город Райчихинск;Амурская область;30;160;1;810;21320;2013;10720000;0;9
Городской округ, городской округ с внутригородским делением;город Свободный;Амурская область;88;208;1;1009;57065;2013;10730000;0;9
Городской округ, городской округ с внутригородским делением;город Тында;Амурская область;125;130;1;1755;34785;2013;10732000;0;9
Городской округ, городской округ с внутригородским делением;город Шимановск;Амурская область;36;44;1;446;19384;2013;10740000;0;9
Городской округ, городской округ с внутригородским делением;рабочий поселок Прогресс;Амурская область;16;52;NA;248;12840;2013;10775000;0;9
Городское поселение;рабочий поселок Архара;Амурская область;12;50;NA;217;9126;2014;10605151;0;9
Городское поселение;рабочий поселок Новобурейский;Амурская область;50;50;1;262;7662;2014;10615151;0;9
Городское поселение;рабочий поселок Бурея;Амурская область;4;40;NA;80;4521;2014;10615157;0;9
Городское поселение;рабочий поселок Талакан;Амурская область;11;NA;NA;72;4766;2014;10615172;0;9
Городское поселение;город Завитинск;Амурская область;22;50;NA;197;10952;2014;10621101;0;9
Городское поселение;рабочий поселок Магдагачи;Амурская область;14;43;NA;128;10271;2014;10631151;0;9
Городское поселение;рабочий поселок Сиваки;Амурская область;1;48;NA;36;1861;2014;10631160;0;9
Городское поселение;рабочий поселок Ушумун;Амурская область;1;50;NA;35;2177;2014;10631170;0;9
Городское поселение;рабочий поселок Экимчан;Амурская область;1;NA;NA;NA;1090;2014;10645151;0;9
Городское поселение;рабочий поселок Токур;Амурская область;NA;NA;NA;0;974;2014;10645185;0;9
Городское поселение;рабочий поселок Февральск;Амурская область;17;18;NA;0;4945;2014;10645189;0;9
Городское поселение;рабочий поселок Серышево;Амурская область;19;40;1;337;10330;2014;10647151;0;9
Городское поселение;город Сковородино;Амурская область;18;43;1;524;9404;2014;10649101;0;9
Городское поселение;рабочий поселок Ерофей Павлович;Амурская область;3;50;NA;140;4818;2014;10649155;0;9
Городское поселение;рабочий поселок Уруша;Амурская область;2;7;NA;148;3477;2014;10649185;0;9
Городской округ, городской округ с внутригородским делением;город Благовещенск;Амурская область;610;419;1;13282;225453;2014;10701000;0;9
Городской округ, городской округ с внутригородским делением;город Белогорск;Амурская область;114;140;1;2571;68041;2014;10710000;0;9
Городской округ, городской округ с внутригородским делением;город Зея;Амурская область;45;34;1;620;24082;2014;10712000;0;9
Городской округ, городской округ с внутригородским делением;город Райчихинск;Амурская область;47;160;1;728;20865;2014;10720000;0;9
Городской округ, городской округ с внутригородским делением;город Свободный;Амурская область;82;198;1;1009;56246;2014;10730000;0;9
Городской округ, городской округ с внутригородским делением;город Тында;Амурская область;149;130;1;2246;34169;2014;10732000;0;9
Городской округ, городской округ с внутригородским делением;город Шимановск;Амурская область;38;44;1;582;19116;2014;10740000;0;9
Городской округ, городской округ с внутригородским делением;рабочий поселок Прогресс;Амурская область;19;55;0;270;12567;2014;10775000;0;9
Городское поселение;рабочий поселок Архара;Амурская область;13;50;NA;189;9044;2015;10605151;0;9
Городское поселение;рабочий поселок Новобурейский;Амурская область;50;50;1;254;7701;2015;10615151;0;9
Городское поселение;рабочий поселок Бурея;Амурская область;5;40;NA;40;4388;2015;10615157;0;9
Городское поселение;рабочий поселок Талакан;Амурская область;13;NA;NA;42;4639;2015;10615172;0;9
Городское поселение;город Завитинск;Амурская область;22;50;NA;292;10876;2015;10621101;0;9
Городское поселение;рабочий поселок Магдагачи;Амурская область;16;43;NA;128;10159;2015;10631151;0;9
Городское поселение;рабочий поселок Сиваки;Амурская область;1;48;NA;36;1790;2015;10631160;0;9
Городское поселение;рабочий поселок Ушумун;Амурская область;1;50;0;35;2094;2015;10631170;0;9
Городское поселение;рабочий поселок Экимчан;Амурская область;2;NA;NA;120;1066;2015;10645151;0;9
Городское поселение;рабочий поселок Токур;Амурская область;NA;NA;NA;NA;949;2015;10645185;0;9
