"","id","country","year","referendum","protestfinal","ethfrac","lang","relig","win","gwf","protest_cnts","sample_geddes","psyhint","infl","efw","gini","turnout","country_name","type","boycottopp","nelda_index","neldaindex","pop","gwf1","phat","ethfrac1","new_nelda","gwf2"
"1",321,"Zambia",2011,0,NA,0.780799984931946,0.873399972915649,0.735899984836578,0,"party-based",NA,1,NA,NA,23.25,57.4900016784668,53.9000015258789,70,1,0,NA,NA,13633796,2,0.135978117585182,3,NA,2
"2",25,"Azerbaijan",2010,0,0,0.204699993133545,0.205400004982948,0.48989999294281,1,"personal",0,1,3,5.66792011260986,65.4199981689453,33.7099990844727,50.0999984741211,5,0,0,4,3.074866771698,9054332,6,0.311437249183655,1,1,1
"3",301,"Tunisia",2004,0,0,0.0394000001251698,0.0124000003561378,0.0104000000283122,1,"party-based",0,1,4,3.63228011131287,47.4000015258789,41.4199981689453,91.5199966430664,65,1,0,NA,NA,9932400,2,0.135978117585182,1,NA,2
"4",88,"Egypt",2010,0,1,0.18359999358654,0.023700000718236,0.197899997234344,1,"party-personal-military",6,1,3,NA,34.5200004577637,30.7700004577637,27.4699993133545,19,0,0,NA,NA,78075705,5,0.359868705272675,1,NA,NA
"5",236,"Russia",2008,0,0,0.245199993252754,0.248500004410744,0.43979999423027,1,"personal",2,1,3,14.1077995300293,14.6099996566772,42.2700004577637,69.7099990844727,52,1,0,2,0.447824716567993,141956409,6,0.311437249183655,1,0.475687116384506,1
"6",329,"Zimbabwe",2008,0,0,0.38740000128746,0.447200000286102,0.736299991607666,1,"party-based",4,1,0,NA,9.84000015258789,50.0999984741211,42.3699989318848,71,1,0,2,0.580436944961548,12784041,2,0.135978117585182,2,0.502154231071472,2
"7",152,"Kazakhstan",2005,0,0,0.61710000038147,0.66210001707077,0.589800000190735,1,"personal",0,1,4,NA,16.3400001525879,30.7600002288818,76.7799987792969,34,1,0,1,-0.616713464260101,15147029,6,0.311437249183655,2,0.26322340965271,1
"8",289,"Tanzania",2010,1,0,0.735300004482269,0.898299992084503,0.633400022983551,1,"party-based",0,1,5,6.20016002655029,26.3299999237061,37.5800018310547,39.4900016784668,63,0,0,0,-1.93558049201965,44973330,2,0.135978117585182,3,1.59274138322729e-09,2
"9",245,"Serbia (Yugoslavia)",2000,0,1,0.573599994182587,NA,NA,0,"party-personal",10,1,NA,71.1205978393555,NA,32.7400016784668,71.5500030517578,55,1,0,1,-0.616713464260101,7516346,4,0.575099050998688,2,0.26322340965271,NA
"10",23,"Azerbaijan",2005,0,1,0.204699993133545,0.205400004982948,0.48989999294281,1,"personal",3,1,2,9.67951011657715,45,33.7099990844727,75.3499984741211,5,0,0,2,0.813178300857544,8391850,6,0.311437249183655,1,0.548605442047119,1
