city_id;seats;distance;ur_percent;turnout;cpm;avu_compare;electoral_cycle;frauded
008c50;2;-0,229828921;32,04968944;19,28494041;5;79,07662083;2016-2021;0
008c50;2;-0,279212125;38,11881188;21,93242442;5;84,16666667;2016-2021;0
008c50;2;-0,23683195;34,26488457;18,89588737;5;82,79678068;2016-2021;0
008c50;2;-0,166508491;26,56675749;22,60912212;5;82,47191011;2016-2021;0
008c50;2;0,128174903;29,14728682;24,90619137;5;64,11530815;2016-2021;0
008c50;2;-0,208476351;30,37825059;23,73873874;5;83,26771654;2016-2021;0
008c50;2;-0,276030102;30,63973064;25,52607502;5;82,96089385;2016-2021;0
008c50;2;-0,149862848;23,99512789;23,59043753;5;80,01949318;2016-2021;0
008c50;2;-0,234822492;25;25,90556274;5;73,82198953;2016-2021;0
008c50;2;-0,225632929;19,3877551;19,52755906;5;87,37997257;2016-2021;0
008c50;2;-0,072548422;28,53598015;14,61704423;5;77,20306513;2016-2021;0
008c50;2;-0,218937531;24,10623085;25,40494459;5;84,83535529;2016-2021;0
008c50;2;0,024517881;26,22333752;22,1402214;5;86,06911447;2016-2021;0
008c50;2;-0,279110838;24,2090784;19,56521739;5;83,56321839;2016-2021;0
008c50;2;-0,031806909;20,4957102;23,84329618;5;76,90615836;2016-2021;0
008c50;2;-0,489702759;22,77722278;25,27279127;5;70,6920904;2016-2021;0
008c50;2;-0,242032748;22,87636669;24,03628118;5;82,91492329;2016-2021;0
01db87;5;0,094468208;32,98717166;40,16393443;3,4;75,78703704;2007-2011;0
01db87;5;-0,259367636;44,30255403;31,76352705;2,2;66,97368421;2007-2011;0
01db87;5;-0,359753356;49,97530864;46,20141343;2,4;81,98380567;2011-2016;0
01db87;5;-10,22247811;62,25791214;44,61805556;2,2;85,36290323;2011-2016;0
01db87;5;-0,162361549;20,96845846;47,45908699;4,2;85,26515152;2016-2021;0
01db87;5;-0,157381523;33,40857788;43,71357202;4;87,54940711;2016-2021;0
0339d4;5;1,878317202;77,37268519;21,30299897;2,2;84,91400491;2007-2011;1
0339d4;5;1,276502911;73,70030581;17,40442656;2,2;78,79518072;2007-2011;1
0339d4;5;1,411451909;76,28458498;16,437684;2,2;77,60736196;2007-2011;1
0339d4;5;1,132913346;76,33501967;15,66803126;2,2;87,20588235;2007-2011;1
0339d4;5;-0,146283672;58,30784913;11,88118812;2,2;65,6187291;2007-2011;0
0339d4;5;0,209710382;62,28070175;20,38966923;2,2;72,71070615;2007-2011;0
0339d4;5;-0,06375693;49,56217163;13,24;2,2;72,27848101;2007-2011;0
0339d4;5;0,547047945;65,82761251;14,59152468;2,2;81,42857143;2007-2011;0
0339d4;5;1,872128421;75,06148549;21,73095014;2,2;90,35555556;2007-2011;1
0339d4;5;-0,131407463;59,93548387;18,52380952;2,2;81,15183246;2007-2011;0
0339d4;5;0,077149771;55,25925926;18,43294827;2,2;74,79224377;2007-2011;0
0339d4;5;0,560829838;71,50127226;22,04830054;2,2;82,38993711;2007-2011;0
0339d4;5;-0,087772377;46,50112867;13,29639889;2,4;80,54545455;2007-2011;0
0339d4;5;0,302001883;64,29170159;12,0942813;2,4;80,88135593;2007-2011;0
0339d4;5;0,810295655;65,44691062;18,23129252;2,4;85,05102041;2007-2011;0
0339d4;5;0,836656213;69,95359629;19,89912884;2,4;81,32075472;2007-2011;0
0339d4;5;-0,027637207;43,43891403;11,20527307;2,4;75,87982833;2007-2011;0
0339d4;5;2,069103643;75,46052632;17,23484848;2,4;84,44444444;2007-2011;1
0339d4;5;1,601943802;77,37226277;11,93533048;2,4;87,33067729;2007-2011;1
0339d4;5;0,878423147;68,53233831;21,61605764;2,4;78,82352941;2007-2011;0
0339d4;5;0,084875284;67,41790084;17,24137931;2,4;88,49002849;2007-2011;0
0339d4;5;0,796172898;67,64314248;21,01944298;2,4;77,62273902;2007-2011;0
0339d4;5;1,494611384;70,84548105;17,625459;2,4;80,51643192;2007-2011;1
0339d4;5;0,377750847;62,70676692;12,22768798;2,4;79,64071856;2007-2011;0
0339d4;5;-0,010688487;53,01318267;14,15694592;2,4;81,69230769;2007-2011;0
0339d4;5;1,646460586;83,25434439;45,52656104;1,6;53,30526316;2011-2016;1
0339d4;5;1,401338335;82,38482385;45,11784512;1,6;47,18670077;2011-2016;1
0339d4;5;0,978270206;76,73084801;31,47106109;1,6;63,90052356;2011-2016;0
0339d4;5;0,624367576;78,51366962;29,91419657;1,6;68,97742364;2011-2016;0
0339d4;5;1,243012563;79,8136646;29,64705882;1,6;61,58469945;2011-2016;1
0339d4;5;2,945747082;85,14724712;28,99297424;1,6;52,15358932;2011-2016;1
0339d4;5;1,572064556;80,00888494;38,79194631;1,2;55,30712531;2011-2016;1
0339d4;5;1,205966753;79,85840708;42,08754209;1,2;67,74580336;2011-2016;1
0339d4;5;2,519449674;75,61366062;37,84219002;1,2;41,92393736;2011-2016;1
0339d4;5;1,963832763;79,32386085;25,81005587;1,2;61,84848485;2011-2016;1
0339d4;5;3,068208355;78,10325888;36,81093394;1,2;74,61748634;2011-2016;1
0339d4;5;0,758557274;75,98752599;43,27693678;1,2;20,8;2011-2016;0
0339d4;5;0,018148634;55,61843169;22,52655115;2,2;62,95165394;2011-2016;0
0339d4;5;0,784672157;53,23166304;36,33802817;2,2;62,73348519;2011-2016;0
0339d4;5;1,08442995;55,08704062;41,05310129;2,2;57,70089286;2011-2016;1
0339d4;5;3,525597839;58,58560794;42,04228161;2,2;79,96031746;2011-2016;1
0339d4;5;0,552754179;60,0567721;34,82959268;2,2;60,07308161;2011-2016;0
0339d4;5;-0,072939585;47,83834586;32,35551664;2,2;59,11111111;2011-2016;0
0339d4;5;-0,226864585;86,95652174;34,49972663;1,2;20;2011-2016;0
0339d4;5;0,605616081;70,07952286;40,49079755;1,2;56,51685393;2011-2016;0
0339d4;5;1,899621135;66,13832853;38,88626711;1,2;52,11514393;2011-2016;1
0339d4;5;0,670601997;71,76128093;34,83386924;1,2;44,03846154;2011-2016;0
0339d4;5;-0,219611187;74,85136742;28,08219178;1,2;53,73801917;2011-2016;0
0339d4;5;0,690850648;67,95903438;29,65921193;1,2;51,39097744;2011-2016;0
0339d4;5;1,149165181;68,67245658;34,01015228;1,2;50,77165354;2011-2016;1
0339d4;5;-0,115109727;40,07220217;25,44722719;4,4;73,72623574;2016-2021;0
0339d4;5;-0,134362394;40,7550077;24,68319559;4,4;60,79625293;2016-2021;0
0339d4;5;-0,155479995;38,64197531;27,19457014;4,4;56,152513;2016-2021;0
0339d4;5;0,141932054;38,24152542;22,07225089;4,4;73,03675048;2016-2021;0
0339d4;5;-0,097345738;39,36331481;24,56982793;4,4;66,5210084;2016-2021;0
