"","democracy","sex","education","sub_income","left_right_scale","relig_authorities","army_coup","people_obey","national_pride","civil_rights","free_elections"
"457","Very good","Female","0","2",10,0,0,8,2,10,10
"458",NA,"Female","1","2",NA,NA,NA,NA,NA,8,10
"459","Fairly good","Male","0","2",3,NA,NA,9,1,7,8
"460","Fairly good","Female","1","1",7,1,1,1,2,10,10
"461","Fairly good","Female","0","2",NA,1,5,10,1,10,10
"462","Fairly good","Female","0","2",7,0,0,4,1,10,10
"463","Fairly good","Female","0","2",8,0,0,4,2,10,10
"464","Fairly good","Female","0","2",8,0,0,10,1,10,10
"465","Fairly good","Male","0","3",7,0,0,7,2,10,10
"466","Very good","Female","0","2",NA,0,0,10,1,10,10
"467","Fairly good","Male","0","2",5,0,0,4,2,10,10
"468",NA,"Female","1","1",NA,NA,0,10,2,10,NA
"469",NA,"Male","0","2",NA,1,0,10,2,10,10
"470","Very good","Female","1","2",NA,0,0,0,NA,10,10
"471","Fairly good","Female","0","1",NA,1,NA,7,2,10,NA
"472","Fairly good","Male","0",NA,NA,NA,0,NA,2,10,NA
"473","Fairly good","Male","0","2",NA,1,0,NA,2,NA,1
"474","Very good","Female","0","2",7,3,4,3,2,7,9
"475","Very good","Male","0","1",4,5,5,5,2,5,1
"476",NA,"Female","0","1",NA,NA,NA,NA,2,NA,NA
"477","Very good","Female","1","2",5,9,9,9,2,9,9
"478","Very good","Female","1","2",5,1,1,10,2,10,10
"479","Fairly good","Male","1","2",4,1,8,4,2,9,10
"480","Very good","Female","1","2",10,1,1,10,1,10,10
"481","Very good","Male","0","1",NA,NA,NA,9,1,8,9
"482","Very good","Female","1","2",10,1,10,10,1,10,10
"483","Very good","Male","0","2",NA,1,NA,10,1,10,10
"484","Fairly bad","Male","0","1",9,8,5,5,2,5,5
"485","Very good","Male","0","2",5,NA,NA,NA,1,NA,NA
"486","Fairly good","Male","0","2",10,7,1,2,2,10,10
"487","Very good","Female","1","2",5,4,1,4,1,10,10
"488",NA,"Female","0","1",5,NA,10,10,1,5,10
"489","Fairly good","Female","1","2",2,9,6,6,1,10,9
"490","Fairly good","Male","1","2",5,0,10,10,1,5,10
"491","Very good","Male","0","2",5,1,10,10,2,10,10
"492","Fairly good","Male","0","2",NA,5,5,10,2,5,10
"493","Fairly good","Female","0","2",5,5,5,10,2,5,8
"494",NA,"Female","0","2",NA,1,5,10,2,10,8
"495","Fairly good","Female","0","2",NA,1,10,10,1,10,10
"496","Fairly good","Male","0","2",NA,NA,6,8,3,8,NA
"497","Fairly good","Female","1","2",8,7,6,7,1,7,9
"498","Fairly good","Male","0","2",5,3,3,8,2,8,8
"499","Fairly good","Male","1","2",3,1,3,7,1,0,0
"500","Fairly good","Female","0","1",5,6,6,8,2,7,8
"501","Very bad","Female","0","1",6,1,4,3,3,6,7
"502","Very good","Female","1","2",6,1,2,8,1,10,7
"503","Fairly good","Male","1",NA,NA,1,1,NA,NA,10,10
"504","Fairly good","Female","1","2",5,5,5,8,2,7,7
"505","Very good","Male","1","2",NA,1,3,9,1,10,10
"506","Very good","Female","1","2",7,0,0,5,1,9,9
"507","Fairly good","Male","1","2",5,1,1,9,1,2,8
"508","Very good","Female","1","2",3,3,1,5,1,10,10
"509","Fairly good","Female","0","2",6,2,1,7,2,10,6
"510","Fairly good","Female","1","2",NA,10,5,10,2,10,10
"511","Very good","Female","1","2",7,1,1,10,1,9,10
"512","Fairly good","Male","1","2",10,5,5,10,1,5,10
"513","Fairly good","Male","1","2",NA,1,7,7,2,7,9
"514","Fairly bad","Male","0","2",5,1,6,7,2,8,6
"515","Fairly good","Female","1","2",NA,1,10,9,1,10,10
"516","Fairly good","Male","1","1",5,1,3,8,2,10,10
"517","Very bad","Female","0","2",6,5,5,7,2,7,6
"518","Fairly good","Male","1","2",6,6,7,7,2,8,6
"519","Fairly bad","Male","0","3",9,5,3,3,1,3,7
"520",NA,"Female","0","2",6,NA,10,10,1,10,10
"521","Fairly good","Male","0","1",10,3,8,8,1,10,9
"522","Fairly good","Female","0","1",3,3,5,NA,1,6,10
"523",NA,"Female","0","2",NA,2,8,8,1,5,10
"524","Very good","Male","0","1",NA,1,5,10,1,10,10
"525","Very good","Female","0","2",1,5,10,10,1,10,10
"526","Very good","Female","0","1",NA,2,10,10,1,10,10
"527","Very good","Female","0","1",NA,1,6,10,1,10,10
"528","Fairly good","Female","0","2",5,0,0,0,2,10,10
"529","Fairly good","Male","0","2",NA,0,0,10,2,10,10
"530","Fairly good","Female","0","2",7,4,5,5,2,6,6
"531","Fairly good","Female","1","2",8,10,10,10,1,10,10
"532","Fairly good","Male","0","1",6,3,4,5,2,4,7
"533","Fairly good","Male","0","2",7,6,5,8,2,7,8
"534","Fairly good","Female","0","2",6,5,5,6,2,7,7
"535","Very good","Male","0","2",5,1,7,10,1,9,10
"536","Very good","Female","0","2",2,1,10,8,1,10,10
"537","Very good","Female","0","1",5,4,4,9,1,9,10
"538","Very good","Female","0","1",6,4,5,7,1,10,9
"539","Very good","Male","1","1",8,6,7,8,1,9,10
"540","Fairly good","Female","1","2",7,4,8,9,2,9,8
"541","Very good","Female","0","1",1,10,1,10,1,10,10
"542","Fairly good","Female","0","1",NA,5,8,10,2,7,7
"543","Very good","Female","0","2",3,5,8,7,1,6,7
"544","Very bad","Female","1","2",NA,10,10,5,2,10,10
"545","Very bad","Female","1","3",NA,NA,5,10,1,10,10
"546","Very bad","Male","0","2",5,10,7,8,2,9,6
"547","Fairly bad","Male","1","2",6,6,8,8,3,7,10
"548","Fairly bad","Female","0","2",6,6,10,6,3,5,8
"549","Fairly bad","Male","0","3",8,5,4,7,3,8,9
"550","Very bad","Male","0","3",7,8,3,8,3,7,5
"551","Fairly good","Male","0","2",NA,0,0,5,2,10,5
"552","Very good","Female","0","2",10,1,5,1,3,10,10
"553","Very good","Female","0","2",3,0,0,10,3,10,10
"554","Fairly good","Female","0","1",NA,0,0,10,2,10,10
"555","Fairly good","Female","0","2",6,1,1,9,1,10,10
"556","Fairly good","Female","0","2",6,1,5,3,2,9,8
"557","Fairly bad","Female","0","2",7,7,9,8,2,4,5
"558","Very good","Female","0","2",5,0,0,5,2,5,5
"559","Very bad","Female","0","2",NA,7,4,8,2,7,10
"560","Very bad","Female","1","2",NA,0,2,8,4,8,6
"561","Fairly good","Male","0","2",5,9,8,7,3,7,7
"562","Very bad","Female","0","2",7,10,10,10,1,9,10
"563","Very good","Female","0","2",10,3,10,10,2,10,10
"564","Very good","Female","0","1",5,2,5,8,1,5,9
"565","Very good","Female","0","2",10,5,10,10,1,10,10
"566","Very good","Male","0","1",5,5,1,10,1,5,10
"567","Fairly good","Female","1","1",7,3,4,6,2,8,7
"568","Fairly good","Female","1","2",NA,1,4,6,2,5,5
"569","Fairly good","Female","0","1",NA,7,5,7,2,5,8
"570","Very good","Female","0","2",5,0,0,3,2,10,10
"571","Very good","Male","0","3",5,0,0,6,2,10,10
"572","Fairly good","Female","1","2",5,0,0,5,2,10,10
"573","Very good","Female","1","1",NA,0,0,NA,2,10,10
"574","Fairly good","Female","1","1",NA,NA,0,10,2,10,10
"575","Very good","Female","0",NA,NA,0,0,10,NA,10,10
"576","Very good","Male","0","2",NA,0,0,NA,2,10,10
"577","Fairly good","Male","1","1",NA,0,0,NA,2,10,10
"578","Very good","Male","0","2",NA,5,NA,8,1,NA,NA
"579",NA,"Female","0","1",NA,NA,NA,NA,2,NA,NA
"580","Fairly good","Male","0","2",5,NA,NA,8,2,10,10
"581","Fairly good","Male","0","1",NA,2,3,8,1,9,10
"582","Very good","Female","1","2",NA,1,0,0,1,0,0
"583","Very good","Male","0","2",NA,2,3,9,1,9,10
"584","Fairly good","Male","0","1",NA,1,5,10,NA,10,10
"585","Fairly good","Male","0","2",5,1,2,9,1,10,10
"586","Fairly good","Female","0","2",NA,1,NA,10,2,10,10
"587","Fairly good","Male","0","2",NA,1,NA,10,2,0,10
"588","Fairly good","Female","1","2",8,2,9,10,2,10,10
"589","Fairly good","Female","0","2",8,1,10,10,2,10,10
"590","Fairly good","Female","0","2",8,10,5,5,1,10,10
"591","Very good","Female","0","2",8,1,3,9,2,10,10
"592","Fairly good","Male","0","2",NA,1,10,10,2,10,10
"593","Fairly good","Female","1","2",NA,1,5,10,2,5,10
"594","Fairly good","Female","1","1",5,4,1,8,2,5,5
"595","Fairly good","Male","1","2",1,1,1,1,2,10,10
"596","Fairly good","Female","0","2",NA,NA,NA,NA,2,NA,NA
"597",NA,"Female","1","1",NA,NA,5,4,2,9,10
"598","Fairly good","Male","0","2",5,1,10,6,1,10,10
"599","Fairly good","Female","0","2",6,6,5,4,2,6,5
"600","Fairly good","Female","0","2",5,5,5,8,2,10,10
"601","Very good","Female","0","1",10,1,3,8,2,9,10
"602","Fairly good","Male","0","2",NA,NA,6,5,1,9,10
"603","Very good","Female","1","3",7,1,4,10,2,10,10
"604","Very good","Male","1","2",7,1,1,6,3,0,0
"605","Fairly bad","Female","0","1",4,1,6,9,1,9,9
"606","Very bad","Male","0","1",NA,5,4,4,1,NA,4
"607","Very good","Female","1","2",7,1,1,10,1,10,10
"608","Fairly good","Female","0","2",5,1,3,5,3,7,6
"609","Fairly bad","Female","1","2",5,2,6,7,3,7,4
"610","Fairly good","Female","0","1",7,3,8,10,1,9,6
"611","Very good","Female","1","1",NA,2,10,5,2,10,10
"612","Very good","Male","0","1",10,1,5,10,1,10,10
"613","Very good","Male","0","3",5,1,10,1,1,1,1
"614",NA,"Male","0","1",NA,10,10,10,1,10,10
"615","Fairly good","Female","0","2",5,1,3,10,2,10,10
"616","Very bad","Female","1","2",6,3,10,10,1,5,3
"617","Fairly good","Female","0","2",5,5,7,5,2,10,10
"618","Fairly good","Female","0","2",2,1,10,3,1,10,10
"619","Very bad","Male","0","2",5,1,5,6,2,5,10
"620",NA,"Male","1","2",5,6,5,5,1,4,9
"621","Fairly good","Female","0","2",6,4,9,4,1,6,5
"622","Very good","Male","0","1",NA,5,2,4,2,7,9
"623","Very good","Female","0","1",NA,5,5,NA,2,8,5
"624","Very good","Female","0","1",NA,6,5,6,1,6,6
"625","Very good","Female","0","2",5,NA,10,10,1,10,10
"626","Fairly good","Female","0","1",5,0,0,10,3,10,10
"627","Fairly good","Female","0","2",5,0,0,10,1,10,10
"628","Fairly good","Male","0","2",NA,0,0,10,2,10,10
"629","Fairly good","Female","0","1",7,6,7,8,1,6,6
"630","Fairly good","Female","0","2",10,4,10,8,1,7,8
"631","Very good","Female","1","3",8,2,7,8,2,9,9
"632","Fairly good","Male","0","3",8,1,8,8,2,9,8
"633","Very good","Female","0","1",9,3,3,8,1,8,10
"634","Fairly bad","Female","0","2",6,3,2,8,1,6,8
"635","Fairly good","Male","1","2",8,3,5,9,1,6,6
"636","Very good","Female","0","1",10,5,6,7,2,6,7
"637","Very good","Male","0","2",10,NA,5,10,2,10,10
"638","Very good","Male","1","2",5,6,4,10,1,10,10
"639","Fairly good","Male","0","1",NA,8,8,7,2,5,9
"640","Fairly bad","Female","0",NA,6,7,5,8,1,8,10
"641","Fairly bad","Female","1","2",6,8,7,8,3,8,7
"642","Fairly bad","Female","0","2",8,6,9,9,1,6,9
"643","Fairly good","Male","1","2",9,3,3,4,1,4,5
"644","Fairly bad","Female","1","3",7,2,1,0,2,0,5
"645","Very bad","Male","1","2",6,4,3,8,4,4,4
"646","Very bad","Male","0","2",6,4,2,5,2,8,8
"647","Fairly good","Female","0","2",NA,5,5,10,1,9,10
"648","Very good","Female","0","2",NA,5,5,6,1,4,1
"649","Fairly bad","Female","0","2",6,2,9,5,1,9,10
"650","Very good","Male","0","2",10,10,10,10,1,10,10
"651","Fairly bad","Female","0","2",NA,1,10,10,1,10,10
"652","Very good","Male","0","3",9,1,3,9,3,8,9
"653","Fairly good","Male","0","2",NA,3,4,3,2,5,7
"654","Fairly good","Female","1","2",5,5,4,6,3,5,NA
"655","Very good","Male","1","2",9,2,NA,10,1,10,10
"656","Very good","Male","0","2",6,1,5,10,1,10,10
"657","Fairly good","Female","1","2",NA,5,1,7,2,9,9
"658","Very good","Female","0","2",10,1,10,10,2,10,10
"659","Fairly good","Female","0","1",NA,1,10,10,1,10,10
"660","Very bad","Male","1","3",10,1,1,1,1,10,NA
"661","Very good","Male","0",NA,NA,NA,10,10,1,1,10
"662",NA,"Male","0","2",NA,NA,10,10,1,NA,1
"663",NA,"Female","0","1",6,1,2,7,3,7,8
"664","Fairly good","Female","0","1",NA,0,0,10,2,10,8
"665","Fairly good","Male","0","1",NA,0,5,6,1,10,10
"666",NA,"Male","0","2",5,3,5,5,1,10,10
"667","Fairly good","Male","0","2",6,4,9,NA,1,8,7
"668","Fairly good","Female","0",NA,NA,6,5,7,2,9,8
"669","Fairly good","Male","0","2",NA,3,4,8,2,7,8
"670","Fairly good","Male","0",NA,NA,8,8,6,1,5,9
"671","Fairly good","Female","0","2",5,4,7,8,1,10,9
"672","Fairly good","Female","0","1",6,6,7,5,3,8,9
"673","Fairly good","Male","1","2",NA,6,8,9,2,6,4
"674","Fairly bad","Female","1","2",NA,7,9,7,2,7,5
"675","Fairly bad","Female","1","2",NA,7,8,9,2,7,9
"676","Fairly bad","Male","0","2",NA,7,7,7,2,9,8
"677","Fairly good","Male","0","2",7,6,5,5,2,5,6
"678","Fairly good","Female","1","2",6,6,7,5,2,5,6
"679","Fairly good","Male","1","2",6,4,5,6,2,5,5
"680","Fairly good","Male","0","2",7,5,3,4,2,6,7
"681","Very good","Male","1","2",NA,1,1,10,1,10,10
"682","Fairly good","Female","1","3",NA,5,5,7,2,10,10
"683","Fairly good","Female","1","3",5,1,1,5,2,5,5
"684","Fairly bad","Male","1","2",7,5,3,9,1,8,9
"685","Fairly bad","Male","0","1",1,NA,10,10,1,10,10
"686","Very good","Female","0","2",8,10,10,10,1,10,5
"687",NA,"Female","0","1",NA,1,NA,8,2,10,7
"688","Fairly good","Female","0","2",NA,3,0,8,1,9,9
"689","Fairly good","Female","1","2",NA,9,0,7,1,8,9
"690",NA,"Male","0","2",NA,NA,7,9,2,9,8
"691","Very good","Female","1","1",NA,1,2,6,2,6,10
"692",NA,"Male","1","2",7,5,6,8,2,9,8
"693","Fairly good","Male","0","3",3,0,0,5,2,10,10
"694","Very good","Female","0","2",7,0,0,4,2,10,10
"695","Fairly good","Male","1","3",NA,0,0,5,2,10,10
"696","Fairly good","Female","1","2",NA,NA,0,NA,2,10,10
"697","Fairly good","Female","1","2",3,5,5,9,2,9,9
"698","Fairly good","Male","0","1",NA,1,5,9,2,7,10
"699","Fairly good","Male","0","1",NA,5,10,10,2,10,10
"700","Fairly good","Male","1","2",2,6,6,10,2,10,9
"701","Fairly good","Female","1","1",NA,1,1,10,1,10,10
"702","Very bad","Male","0","2",5,1,10,10,NA,10,1
"703","Fairly bad","Female","0","3",NA,1,1,1,1,10,NA
"704",NA,"Female","0","1",5,3,10,6,2,10,6
"705",NA,"Female","0","1",NA,1,7,8,2,10,7
"706",NA,"Female","0","1",8,2,9,9,1,0,9
"707",NA,"Female","0","2",4,NA,NA,NA,2,NA,NA
"708",NA,"Female","0","2",10,5,5,5,1,5,9
"709","Fairly good","Female","0","2",6,1,10,0,2,10,10
"710","Very good","Male","1","2",6,5,6,5,1,7,5
"711","Fairly good","Male","0",NA,6,4,8,7,1,6,10
"712","Fairly good","Female","1","2",5,4,5,8,1,6,10
"713","Fairly good","Male","0",NA,NA,7,8,5,1,8,10
"714","Fairly bad","Female","1","2",4,4,6,7,2,4,2
"715","Fairly bad","Female","0","1",5,6,8,9,NA,10,10
"716","Fairly bad","Male","0","2",5,4,10,4,3,5,6
"717","Fairly good","Male","0","2",5,6,10,7,NA,5,8
"718","Fairly bad","Male","0","2",4,9,9,8,2,8,7
"719","Fairly good","Female","0","2",6,3,5,7,2,4,6
"720","Fairly bad","Male","1","2",7,7,8,8,2,7,6
"721","Fairly good","Female","1","2",5,4,6,6,2,5,6
"722",NA,"Male","0","3",NA,2,2,2,1,2,2
"723",NA,"Male","0","2",NA,7,0,8,1,0,0
"724","Fairly good","Male","0","1",5,NA,0,NA,1,NA,NA
"725",NA,"Male","0","2",7,6,1,6,1,10,10
"726","Fairly good","Female","0","2",NA,NA,1,10,1,10,10
"727",NA,"Male","0","2",NA,0,0,10,2,10,10
"728",NA,"Female","0","1",NA,1,0,10,1,10,10
"729","Fairly good","Male","0","1",5,1,1,10,2,10,10
"730",NA,"Male","0","2",8,0,4,9,1,9,9
"731","Fairly good","Male","1","2",5,4,6,9,1,9,9
"732","Fairly good","Male","0","1",NA,0,0,0,NA,9,8
"733","Fairly good","Male","0","1",6,4,5,7,2,7,7
"734","Fairly good","Female","0","2",NA,NA,8,10,2,10,10
"735","Fairly bad","Male","1",NA,3,NA,10,10,2,10,10
"736","Fairly good","Female","1","2",5,2,6,5,2,9,8
"737","Fairly good","Male","0","3",4,1,6,8,2,9,9
"738","Very good","Male","0","3",5,10,NA,10,1,10,10
"739","Very good","Male","0","2",8,2,4,10,2,10,10
"740","Fairly good","Female","1","2",9,2,6,10,2,10,10
"741","Very good","Male","0","2",8,2,3,10,2,10,10
"742",NA,"Female","0","1",NA,NA,NA,10,2,10,10
"743","Very good","Male","0","1",10,1,1,10,1,1,10
"744","Fairly bad","Male","0","2",NA,1,5,5,2,10,5
"745","Fairly good","Female","1","2",NA,1,1,10,3,10,10
"746","Very bad","Male","0","1",5,10,8,6,2,5,6
"747","Fairly good","Female","0","3",5,1,1,1,2,10,NA
"748",NA,"Male","0","1",10,1,NA,10,1,10,10
"749",NA,"Female","0","3",10,10,0,10,3,NA,10
"750",NA,"Female","0","1",10,1,1,10,2,1,10
"751","Fairly bad","Male","0","2",5,3,2,2,2,8,6
"752","Fairly good","Female","0","2",6,7,6,7,1,9,8
"753","Fairly good","Female","0","2",5,1,0,3,2,10,9
"754","Very bad","Female","0","1",10,1,1,1,1,10,10
"755","Very good","Female","0","2",5,1,10,NA,3,10,10
"756","Fairly good","Male","0","1",5,3,5,5,1,8,10
"757","Fairly good","Female","0","1",5,4,4,5,3,9,8
"758","Fairly good","Female","0","2",4,1,2,5,2,9,9
"759","Fairly bad","Female","0","3",5,5,8,7,2,3,5
"760","Fairly good","Female","0","2",5,4,5,5,1,5,5
"761","Fairly bad","Female","0","2",5,1,3,5,2,8,10
"762","Very good","Female","1","2",7,9,8,4,3,8,8
"763",NA,"Male","0","2",6,3,6,6,2,6,3
"764","Fairly good","Female","0","3",7,3,5,5,2,5,5
"765","Fairly good","Female","1","2",6,7,5,7,2,6,7
"766","Fairly bad","Male","0","2",6,5,2,8,2,8,5
"767","Very good","Male","0","1",10,1,7,5,4,10,10
"768","Very good","Female","0","2",NA,5,5,5,1,6,4
"769","Fairly good","Male","0","2",3,1,7,7,2,10,10
"770",NA,"Female","1","2",5,3,6,5,2,8,10
"771","Fairly good","Female","1","1",NA,NA,NA,NA,2,NA,10
"772",NA,"Female","0","2",NA,NA,NA,NA,2,NA,10
"773","Very good","Male","0","2",NA,9,10,10,2,10,10
"774","Fairly good","Male","0","2",NA,8,8,10,2,8,10
"775","Fairly good","Female","0","2",5,0,9,8,2,8,9
"776","Fairly good","Male","0","2",NA,3,9,8,2,8,7
"777","Very good","Female","0","2",6,4,8,9,2,8,10
"778","Fairly good","Female","1","2",NA,5,5,5,1,5,5
"779","Very good","Male","0","2",NA,4,3,4,2,10,7
"780","Very good","Female","1","2",5,NA,NA,5,1,10,10
"781","Fairly bad","Female","1",NA,6,3,7,3,2,8,5
"782","Fairly good","Female","1","3",5,2,4,5,2,8,7
"783","Fairly bad","Male","0","2",4,1,2,3,2,10,10
"784","Fairly good","Male","1","3",6,10,10,10,1,10,10
"785",NA,"Female","1","2",NA,NA,10,10,1,10,10
"786","Very good","Male","1","3",NA,NA,5,5,1,10,10
"787","Fairly good","Male","0","2",7,5,5,4,3,7,3
"788","Fairly good","Male","0","2",5,5,5,3,NA,10,5
"789","Fairly good","Male","0","2",8,6,6,4,NA,8,5
"790","Very bad","Male","1",NA,NA,NA,8,9,2,10,10
"791",NA,"Female","1","1",5,1,NA,10,1,10,10
"792","Fairly good","Male","0","2",6,1,5,7,2,9,10
"793","Fairly good","Male","0","1",7,5,2,7,2,10,10
"794",NA,"Male","0",NA,6,NA,NA,NA,NA,NA,NA
"795","Very good","Male","1",NA,1,10,1,10,2,10,10
"796",NA,"Female","0","2",10,5,5,10,1,10,10
"797","Fairly bad","Female","1","2",5,3,7,6,2,6,6
"798","Fairly bad","Male","0","3",5,5,7,6,3,5,7
"799","Very good","Female","0","1",NA,3,10,5,2,10,10
"800","Very bad","Female","0","2",8,5,5,10,2,10,10
"801",NA,"Female","0","1",NA,0,0,0,1,0,0
"802",NA,"Female","0","1",NA,0,0,0,2,0,0
"803",NA,"Male","0","2",5,3,6,6,1,6,5
"804","Fairly bad","Male","0","2",7,5,6,2,1,9,7
"805","Very good","Female","0","2",NA,7,5,9,2,4,7
"806","Fairly good","Male","0","1",6,9,7,9,2,8,7
"807","Very good","Male","0","2",NA,5,3,10,1,9,8
"808","Fairly good","Female","1","1",5,NA,NA,6,1,6,10
"809","Fairly good","Female","0","2",5,NA,NA,9,1,7,8
"810","Very good","Female","0","1",NA,0,10,7,3,10,10
"811","Fairly good","Female","0","2",NA,0,10,9,1,10,10
"812","Fairly good","Male","0","1",6,5,7,7,2,8,7
"813","Fairly bad","Female","0","2",6,4,6,4,1,8,6
"814","Very bad","Female","0","2",1,5,10,1,4,5,10
"815","Very bad","Male","0",NA,NA,NA,5,5,4,10,10
"816","Very good","Male","0","2",6,4,10,NA,NA,10,3
"817","Fairly good","Female","1","2",10,3,7,1,2,10,10
"818","Fairly good","Male","0","2",7,6,7,6,2,5,8
"819","Very good","Female","1","2",6,5,3,3,2,5,4
"820","Very good","Female","0","2",NA,7,5,5,3,7,4
"821","Very good","Female","1","3",NA,NA,NA,10,2,NA,10
"822","Fairly good","Female","0","2",6,6,4,4,2,4,5
"823","Fairly good","Male","0","2",6,5,4,4,2,4,4
"824",NA,"Female","0","1",NA,NA,5,10,1,4,9
"825","Fairly good","Male","0","2",NA,6,4,5,1,5,5
"826","Fairly good","Male","0","2",5,1,3,10,2,10,10
"827","Fairly good","Male","0","1",NA,1,3,10,1,10,10
"828","Fairly good","Female","0","2",6,8,5,6,3,6,8
"829","Very bad","Male","0","2",7,6,3,5,3,6,4
"830","Fairly good","Female","1","2",8,7,4,5,2,9,5
"831","Very good","Female","0","3",NA,1,10,10,1,10,10
"832","Very good","Female","1","2",5,1,6,10,2,10,10
"833",NA,"Female","0","1",NA,7,7,6,2,6,6
"834","Very bad","Male","0","1",NA,4,7,9,1,6,9
"835","Fairly good","Female","1","2",5,7,9,8,2,7,8
"836","Very good","Male","1","2",NA,5,8,6,3,7,7
"837","Fairly bad","Male","1","2",5,1,0,7,4,6,6
"838","Very good","Female","0","1",10,5,0,10,1,5,10
"839","Fairly good","Female","1","1",NA,3,5,5,1,8,8
"840","Very good","Female","0","2",10,1,3,10,1,10,10
"841","Fairly good","Female","0","2",5,5,4,6,2,9,6
"842","Fairly good","Male","0","1",NA,6,10,9,2,10,10
"843","Fairly good","Female","1","2",6,1,6,0,1,6,10
"844","Fairly good","Male","0","2",7,4,6,7,2,7,6
"845","Fairly good","Male","0","2",6,7,7,7,2,7,6
"846","Fairly good","Male","1","3",8,10,8,8,2,9,9
"847","Fairly good","Female","1","2",7,1,5,10,2,10,10
"848","Fairly bad","Male","0","3",NA,9,9,10,2,9,10
"849","Fairly bad","Male","0","1",5,1,10,10,2,10,10
"850","Fairly good","Female","0","1",NA,8,10,10,1,10,10
"851","Fairly good","Female","0","1",NA,5,7,6,1,6,6
"852","Fairly bad","Female","0","2",9,2,8,6,1,4,10
"853","Fairly good","Male","0","3",8,7,8,6,3,6,10
"854","Fairly bad","Female","0","3",7,5,6,7,1,7,9
"855","Fairly bad","Female","1","2",5,5,8,8,2,6,10
"856","Fairly good","Male","0","2",NA,0,0,7,1,10,10
"857","Very bad","Male","0",NA,5,0,0,10,1,1,10
"858","Very bad","Male","0",NA,4,1,10,10,NA,6,10
"859","Fairly good","Male","0","1",NA,1,5,10,1,10,10
"860","Fairly good","Female","0","1",NA,4,NA,10,1,NA,NA
"861","Fairly good","Female","1","1",4,3,2,10,1,10,10
"862","Fairly good","Male","0","1",5,3,1,10,2,10,10
"863","Very good","Female","0","1",NA,1,4,10,NA,10,10
"864","Fairly good","Male","1","2",NA,2,6,5,1,8,7
"865","Fairly bad","Female","0","1",9,5,8,8,1,9,10
"866","Fairly good","Female","1","3",5,2,3,7,1,9,9
"867",NA,"Female","0","2",NA,0,0,5,2,9,10
"868","Fairly bad","Male","0","2",5,9,10,9,2,9,9
"869","Fairly good","Male","0","2",NA,3,6,7,2,8,7
"870","Fairly good","Male","1","2",4,1,10,8,2,10,10
"871","Fairly good","Female","0","1",5,NA,6,6,2,8,8
"872",NA,"Female","0","2",NA,NA,NA,NA,NA,NA,NA
"873","Fairly good","Female","1","2",5,3,3,3,3,2,7
"874","Fairly good","Female","1","3",7,1,3,6,2,9,10
"875","Fairly bad","Female","1","2",4,2,4,4,2,8,4
"876","Fairly good","Male","0","2",6,1,3,5,2,10,10
"877","Fairly good","Female","0","2",6,1,3,6,2,8,7
"878",NA,"Female","0","2",NA,8,8,5,1,10,10
"879","Very good","Male","1","3",NA,10,8,9,1,9,9
"880","Fairly good","Male","0","1",NA,1,3,9,1,10,10
"881","Fairly good","Female","0","2",5,1,1,10,1,10,10
"882","Very good","Female","0","2",5,1,1,10,2,10,10
"883","Fairly good","Male","0","1",5,1,1,10,1,10,10
"884","Fairly good","Female","0","1",NA,1,NA,10,2,10,10
"885","Fairly good","Female","0","1",5,10,4,5,2,10,9
"886","Fairly good","Male","0","1",1,4,6,5,2,10,5
"887","Fairly good","Female","0","1",5,8,5,5,NA,6,6
"888","Very good","Female","0","1",NA,10,8,9,3,10,10
"889","Fairly good","Female","0","1",6,4,4,4,2,6,6
"890","Fairly good","Female","0","2",5,4,8,7,2,5,7
"891","Fairly good","Female","0","1",6,4,5,5,3,5,4
"892","Fairly bad","Male","0","1",6,6,5,3,3,3,5
"893","Fairly bad","Female","0","2",3,7,7,NA,3,NA,5
"894","Fairly bad","Male","0","2",6,3,5,7,2,4,6
"895","Fairly bad","Female","0","2",6,3,5,5,1,5,4
"896","Fairly good","Female","0","2",8,4,3,8,2,10,6
"897","Fairly good","Female","0","2",10,1,7,10,2,10,10
"898",NA,"Female","0","1",NA,NA,NA,6,2,NA,NA
"899","Fairly good","Female","1","2",5,0,2,7,2,7,7
"900","Fairly good","Female","0","2",6,0,0,8,2,9,8
"901","Fairly good","Female","0","2",NA,1,10,5,2,10,10
"902","Fairly good","Female","0","1",5,5,5,10,2,10,10
"903","Fairly good","Female","1","2",NA,2,2,9,1,9,10
"904","Fairly good","Male","0","2",5,3,8,5,1,5,8
"905",NA,"Male","0","1",NA,NA,10,10,1,10,10
"906","Very bad","Female","0","1",NA,2,10,10,1,NA,10
"907","Fairly good","Female","0","1",NA,2,1,8,1,10,10
"908","Fairly bad","Male","0","2",8,1,1,5,1,10,9
"909","Very good","Female","0","2",5,2,1,6,1,7,8
"910","Very good","Male","0","2",8,2,2,7,1,8,10
"911","Very good","Male","0","2",NA,1,1,10,2,10,10
"912","Very good","Male","0","2",NA,1,1,7,2,8,10
"913","Fairly good","Female","0","2",5,6,4,5,2,10,9
"914","Fairly good","Male","0","2",7,5,7,9,2,8,9
"915","Fairly good","Female","1","2",7,2,8,9,1,9,10
"916","Very good","Male","1","2",NA,1,1,10,2,10,10
"917","Very good","Female","0","2",5,1,1,4,2,5,10
"918","Fairly good","Female","0","1",7,7,10,10,2,10,10
"919","Fairly good","Female","0","2",5,3,4,5,3,4,2
