"","democracy","sex","education","sub_income","left_right_scale","relig_authorities","army_coup","people_obey","national_pride","civil_rights","free_elections"
"106","Fairly good","Female","0","1",5,5,5,7,1,5,5
"107","Fairly good","Male","0","1",6,0,0,NA,1,NA,9
"108",NA,"Male","1","2",8,7,7,5,1,10,10
"109","Fairly good","Male","1","3",10,3,5,9,1,6,0
"110","Very good","Male","1","3",5,9,10,8,2,10,7
"111","Fairly good","Male","0","1",8,8,7,7,2,5,10
"112","Very good","Female","0","2",7,8,7,8,2,10,6
"113","Fairly bad","Female","0","2",5,3,4,3,1,4,3
"114","Fairly bad","Male","0","2",10,3,4,4,1,6,6
"115","Very good","Male","0","1",6,10,9,10,1,10,10
"116","Fairly good","Female","0","1",NA,8,4,10,1,10,10
"117","Fairly good","Male","0","1",NA,5,10,10,1,10,10
"118","Very good","Female","0","1",NA,1,1,10,1,10,10
"119","Fairly good","Female","0","2",5,5,8,10,1,6,10
"120",NA,"Male","0","2",NA,2,3,8,NA,8,5
"121","Very good","Male","0","3",5,1,2,9,3,8,8
"122","Fairly good","Male","0","2",6,6,6,10,2,10,10
"123","Very good","Male","1","2",8,1,1,10,1,10,10
"124","Fairly good","Female","0","2",7,6,7,10,NA,10,10
"125","Fairly good","Female","1","2",7,1,0,8,2,10,10
"126","Fairly good","Male","1","2",NA,2,0,2,1,7,6
"127","Fairly good","Female","0","2",NA,1,9,8,1,10,10
"128","Fairly good","Male","0","2",5,2,10,7,2,9,8
"129","Fairly good","Female","0","2",5,1,9,10,1,10,10
"130","Fairly good","Female","0","2",5,1,8,5,1,10,10
"131","Fairly good","Female","0","2",5,5,0,10,1,10,5
"132",NA,"Female","0","2",NA,1,4,10,NA,10,10
"133","Fairly good","Male","0","1",5,5,0,10,1,10,10
"134",NA,"Female","1","1",NA,1,2,2,NA,9,10
"135","Fairly good","Female","0","1",NA,1,4,6,2,10,10
"136",NA,"Female","0","1",NA,NA,NA,NA,2,NA,NA
"137","Very good","Male","0","2",NA,4,7,5,1,5,4
"138",NA,"Male","0","1",NA,1,10,10,1,10,NA
"139","Fairly good","Male","0","2",6,6,5,7,1,5,8
"140",NA,"Female","0","1",5,8,8,6,1,5,5
"141",NA,"Female","1","2",5,8,9,8,2,5,4
"142",NA,"Female","0","1",5,5,7,7,2,5,7
"143",NA,"Male","0","1",7,5,7,5,2,5,5
"144",NA,"Female","0","1",7,6,8,5,2,5,6
"145","Fairly good","Female","0","2",5,3,7,4,2,5,6
"146","Very good","Male","0","2",7,3,5,5,2,6,7
"147","Very good","Female","0","2",7,4,5,5,1,7,7
"148","Very good","Male","1","2",9,3,5,3,1,8,9
"149","Very good","Male","0","2",8,4,5,5,2,7,8
"150","Fairly good","Female","0","2",7,2,5,3,2,8,9
"151","Fairly good","Female","0","2",5,1,10,10,2,10,1
"152","Fairly bad","Female","0","2",10,1,1,10,1,NA,10
"153",NA,"Female","1","3",NA,1,6,10,1,10,10
"154",NA,"Female","0","2",1,5,NA,NA,1,NA,10
"155","Very good","Female","1","2",6,6,6,6,1,7,7
"156","Fairly good","Male","0","2",NA,2,1,10,2,10,10
"157","Fairly good","Female","0","2",4,3,7,5,2,8,7
"158",NA,"Male","0","2",5,5,5,4,2,4,4
"159",NA,"Male","1","2",6,1,2,2,1,10,3
"160","Fairly good","Female","1","2",6,6,7,9,2,6,6
